name,beers_count,brewery_id,latitude,longitude
Bryggeriet lfabrikken,1.0,312,56.07460021972656,12.116100311279295
BT McClintic Beer Company,1.0,313,42.50830078125,-89.03179931640625
Bube's Brewery,9.0,314,40.111900329589844,-76.50309753417969
Budjovick Budvar,,315,,
Budjovick Mansk Pivovar,2.0,316,,
Bull & Bush Pub & Brewery,12.0,317,39.70500183105469,-104.93599700927734
Bulldog Brewing,1.0,318,36.74769973754883,-119.77200317382812
Bullfrog Brewery,7.0,319,41.24039840698242,-77.00569915771484
Bulmer Cider,1.0,320,52.05599975585938,-2.7174999713897705
BÃ¼rgerbrÃ¤u Wolnzach,3.0,321,,
Burton Bridge Brewery,4.0,322,52.80649948120117,-1.622499942779541
Butte Creek Brewing,1.0,323,39.7244987487793,-121.8479995727539
Butterfield Brewing #1,1.0,324,36.74769973754883,-119.77200317382812
Buzzards Bay Brewing Inc.,1.0,325,41.5713005065918,-71.05709838867188
C.B. & Potts of Cheyenne,8.0,326,41.16070175170898,-104.802001953125
C.H. Evans Brewing Company,,327,42.65420150756836,-73.74810028076172
Caldera Brewing,9.0,328,42.18439865112305,-122.66300201416016
Caledonian Brewing,2.0,329,55.93579864501953,-3.229700088500977
Calhoun's Microbrewery,1.0,330,35.93199920654297,-84.01200103759766
California Cider Company,2.0,331,37.9734992980957,-122.53099822998048
Callahan's Pub and Brewery,3.0,332,32.91469955444336,-117.14600372314452
Cambridge Brewing,5.0,333,42.36640167236328,-71.09110260009766
Cameron's Brewing,1.0,334,43.4744987487793,-79.67749786376953
Camerons Brewery Company,1.0,335,41.4995002746582,-81.69539642333984
Canadian Brewery,,336,52.1343994140625,-106.64800262451172
Cape Ann Brewing,,337,42.610198974609375,-70.66639709472656
Capital Brewery,20.0,338,43.09489822387695,-89.51629638671875
Capital City Brewing Company,4.0,339,38.899898529052734,-77.0271987915039
Capital City Brewing Company,4.0,339,43.80419921875,-91.25260162353516
Capitol City Brewing #4,1.0,340,38.84109878540039,-77.08689880371094
Captain Lawrence Brewing Company,9.0,341,41.1259994506836,-73.78959655761719
Carlow Brewing Company,1.0,343,52.71960067749024,-6.8460001945495605
Carlsberg Bryggerierne,3.0,344,55.66669845581055,12.539299964904785
Carlsberg Sverige AB,2.0,345,56.90019989013672,12.540499687194824
Carlton and United Breweries,,346,-37.82310104370117,144.9669952392578
Carlyle Brewing,1.0,347,42.26890182495117,-89.0906982421875
Carmel Brewing,2.0,348,36.67770004272461,-121.65599822998048
Carolina Beer Company,1.0,349,35.62310028076172,-80.80110168457031
Carolina Brewery,4.0,350,35.910301208496094,-79.06320190429688
Carver Brewing Co.,4.0,351,37.27479934692383,-107.87999725341795
Castle Springs Brewery,1.0,352,43.754798889160156,-71.39669799804688
Cat's Paw Home Brew,1.0,353,,
Catamount Brewing,1.0,354,43.64899826049805,-72.31929779052734
Cedar Brewing,10.0,355,41.962501525878906,-91.69180297851562
Celis Brewery,5.0,356,30.267200469970703,-97.74310302734376
Central City Brewing Company,5.0,357,49.18730163574219,-122.8499984741211
Central Waters Brewing Company,4.0,358,44.44189834594727,-89.27970123291016
Cervecera Centro Americana S.A.,1.0,359,14.613300323486328,-90.5353012084961
Cervecera Cuauhtmoc-Moctezuma,7.0,360,25.7091007232666,-100.31400299072266
Cervecera del Pacfico,,361,,
Cervecera Hondurea,1.0,362,,
Cervecera Jerome,4.0,363,-32.89020156860352,-68.84400177001953
Cervecera Nacional,3.0,364,37.43159866333008,-78.65689849853516
Cerveceria Bucanero,1.0,365,,
CervecerÃ­a La Constancia,1.0,366,,
Cervejaria de Macau,1.0,367,19.721900939941406,-101.2249984741211
Cervejaria Kaiser Brasil,1.0,368,-25.168800354003906,-50.129798889160156
Cervejaria Sudbrack,5.0,369,-26.891399383544922,-49.12229919433594
Cervezas Alhambra,1.0,370,37.1875,-3.601799964904785
Chama River Brewing,1.0,371,35.139999389648445,-106.5999984741211
Charles Wells Ltd.,1.0,372,52.13209915161133,-0.4814999997615814
Charlie and Jake's Brewery and BBQ,1.0,373,28.21260070800781,-80.67340087890625
Chelsea Brewing Company,4.0,374,40.74570083618164,-74.00859832763672
Cherryland Brewing,4.0,375,44.83420181274414,-87.37699890136719
Cheshire Cat Brewery,5.0,376,39.80229949951172,-105.08399963378906
Chicago Brewing,1.0,377,36.14759826660156,-115.2979965209961
Chimay (Abbaye Notre Dame de Scourmont),4.0,378,50.035499572753906,4.377699851989746
Cigar City Brewing,6.0,379,27.95870018005371,-82.5093002319336
Circle V Brewing,1.0,380,39.76839828491211,-86.15799713134766
"City Brewing Company, LLC",4.0,381,,
CJ's Brewery & Grill,1.0,382,33.857498168945305,-117.8759994506836
Cleveland ChopHouse and Brewery,1.0,383,41.4995002746582,-81.69940185546875
Climax Brewing Copmany,9.0,384,40.6598014831543,-74.28299713134766
Clipper City Brewing Co.,15.0,385,39.23080062866211,-76.67510223388672
Clner Hofbrau Frh,1.0,386,50.940101623535156,6.956999778747559
Coach's Norman,1.0,387,35.22050094604492,-97.44390106201172
Coast Brewing,6.0,388,30.395999908447266,-88.88529968261719
Coast Range Brewing,4.0,389,37.00130081176758,-121.56600189208984
Coastal Fog Brewing,3.0,390,37.97800064086914,-122.03099822998048
Coeur d'Alene Brewing Company,1.0,391,47.67449951171875,-116.78399658203124
Cold Spring Brewing,3.0,392,45.45819854736328,-94.4291000366211
Columbia Bay Brewery Restaurant and Pub,1.0,393,42.41699981689453,-88.0739974975586
Commonwealth Brewing #1,5.0,394,42.3583984375,-71.05979919433594
Coniston Brewing,2.0,395,,
Cooper's Cave Ale Company,6.0,396,43.31769943237305,-73.63999938964844
Coopers Brewery,9.0,397,-34.87269973754883,138.572998046875
Cooperstown Brewing Company,6.0,398,42.589298248291016,-74.94029998779297
Coors Brewing - Golden Brewery,11.0,399,39.7598991394043,-105.21900177001952
Copper Dragon Brewing,1.0,400,37.727298736572266,-89.216796875
Copper Eagle Brewing,3.0,401,40.92219924926758,-98.35810089111328
Copper Eagle Brewing,3.0,401,47.94540023803711,-122.3040008544922
Copper Kettle Brewery,4.0,402,40.89419937133789,-77.19709777832031
Corner Pub,3.0,403,43.53229904174805,-90.00990295410156
Coronado Brewing Company,11.0,404,32.69760131835937,-117.1729965209961
Costal Extreme Brewing Company,1.0,405,41.5369987487793,-71.27960205078125
Courage Brewery,1.0,406,53.88460159301758,-1.2652000188827517
Court Avenue Brewing,6.0,407,41.58549880981445,-93.62100219726562
Courthouse Pub,4.0,408,44.088600158691406,-87.65760040283203
